"region";"kvartal";"Prisindeks for brukte boliger"
"Bergen";"1998K4";0.0
"Bergen";"1999K1";0.0
"Bergen";"1999K2";0.0
"Bergen";"1999K3";0.0
"Bergen";"1999K4";0.0
"Bergen";"2000K1";0.0
"Bergen";"2000K2";0.0
"Bergen";"2000K3";0.0
"Bergen";"2000K4";0.0
"Bergen";"2001K1";0.0
"Bergen";"2001K2";0.0
"Bergen";"2001K3";0.0
"Bergen";"2001K4";0.0
"Bergen";"2002K1";0.0
"Bergen";"2002K2";0.0
"Bergen";"2002K3";0.0
"Bergen";"2002K4";0.0
"Bergen";"2003K1";0.0
"Bergen";"2003K2";0.0
"Bergen";"2003K3";0.0
"Bergen";"2003K4";0.0
"Bergen";"2004K1";0.0
"Bergen";"2004K2";0.0
"Bergen";"2004K3";0.0
"Bergen";"2004K4";0.0
"Bergen";"2005K1";53.3
"Bergen";"2005K2";54.4
"Bergen";"2005K3";56.1
"Bergen";"2005K4";55.3
"Bergen";"2006K1";61.0
"Bergen";"2006K2";63.0
"Bergen";"2006K3";66.2
"Bergen";"2006K4";67.3
"Bergen";"2007K1";71.7
"Bergen";"2007K2";71.2
"Bergen";"2007K3";69.7
"Bergen";"2007K4";67.3
"Bergen";"2008K1";67.7
"Bergen";"2008K2";67.6
"Bergen";"2008K3";62.8
"Bergen";"2008K4";58.9
"Bergen";"2009K1";61.2
"Bergen";"2009K2";64.2
"Bergen";"2009K3";66.9
"Bergen";"2009K4";67.0
"Bergen";"2010K1";69.6
"Bergen";"2010K2";73.5
"Bergen";"2010K3";73.1
"Bergen";"2010K4";73.1
"Bergen";"2011K1";78.1
"Bergen";"2011K2";79.0
"Bergen";"2011K3";79.5
"Bergen";"2011K4";81.0
"Bergen";"2012K1";84.2
"Bergen";"2012K2";83.6
"Bergen";"2012K3";84.7
"Bergen";"2012K4";85.3
"Bergen";"2013K1";88.1
"Bergen";"2013K2";91.7
"Bergen";"2013K3";90.1
"Bergen";"2013K4";86.4
"Bergen";"2014K1";90.5
"Bergen";"2014K2";92.6
"Bergen";"2014K3";94.5
"Bergen";"2014K4";94.2
"Bergen";"2015K1";98.2
"Bergen";"2015K2";101.9
"Bergen";"2015K3";101.5
"Bergen";"2015K4";98.4
"Bergen";"2016K1";99.2
"Bergen";"2016K2";101.6
"Bergen";"2016K3";101.2
"Bergen";"2016K4";101.5
"Bergen";"2017K1";103.7
"Bergen";"2017K2";105.7
"Bergen";"2017K3";102.5
"Bergen";"2017K4";99.4
"Bergen";"2018K1";101.7
"Bergen";"2018K2";105.5
"Bergen";"2018K3";103.4
"Bergen";"2018K4";100.9
"Bergen";"2019K1";104.3
"Bergen";"2019K2";106.7
"Bergen";"2019K3";105.7
"Bergen";"2019K4";105.1
"Bergen";"2020K1";108.1
"Bergen";"2020K2";110.5
"Bergen";"2020K3";112.5
"Bergen";"2020K4";112.9
"Trondheim";"1992K1";0.0
"Trondheim";"1992K2";0.0
