"region";"kvartal";"Prisindeks for brukte boliger"
"Trøndelag uten Trondheim";"2016K1";102.6
"Trøndelag uten Trondheim";"2016K2";107.8
"Trøndelag uten Trondheim";"2016K3";106.2
"Trøndelag uten Trondheim";"2016K4";104.5
"Trøndelag uten Trondheim";"2017K1";106.6
"Trøndelag uten Trondheim";"2017K2";109.8
"Trøndelag uten Trondheim";"2017K3";107.9
"Trøndelag uten Trondheim";"2017K4";110.6
"Trøndelag uten Trondheim";"2018K1";106.4
"Trøndelag uten Trondheim";"2018K2";111.3
"Trøndelag uten Trondheim";"2018K3";110.4
"Trøndelag uten Trondheim";"2018K4";106.9
"Trøndelag uten Trondheim";"2019K1";106.4
"Trøndelag uten Trondheim";"2019K2";113.0
"Trøndelag uten Trondheim";"2019K3";111.1
"Trøndelag uten Trondheim";"2019K4";107.2
"Trøndelag uten Trondheim";"2020K1";110.2
"Trøndelag uten Trondheim";"2020K2";112.2
"Trøndelag uten Trondheim";"2020K3";116.0
"Trøndelag uten Trondheim";"2020K4";116.6
"Nord-Norge";"1992K1";0.0
"Nord-Norge";"1992K2";0.0
"Nord-Norge";"1992K3";0.0
"Nord-Norge";"1992K4";0.0
"Nord-Norge";"1993K1";0.0
"Nord-Norge";"1993K2";0.0
"Nord-Norge";"1993K3";0.0
"Nord-Norge";"1993K4";0.0
"Nord-Norge";"1994K1";0.0
"Nord-Norge";"1994K2";0.0
"Nord-Norge";"1994K3";0.0
"Nord-Norge";"1994K4";0.0
"Nord-Norge";"1995K1";0.0
"Nord-Norge";"1995K2";0.0
"Nord-Norge";"1995K3";0.0
"Nord-Norge";"1995K4";0.0
"Nord-Norge";"1996K1";0.0
"Nord-Norge";"1996K2";0.0
"Nord-Norge";"1996K3";0.0
"Nord-Norge";"1996K4";0.0
"Nord-Norge";"1997K1";0.0
"Nord-Norge";"1997K2";0.0
"Nord-Norge";"1997K3";0.0
"Nord-Norge";"1997K4";0.0
"Nord-Norge";"1998K1";0.0
"Nord-Norge";"1998K2";0.0
"Nord-Norge";"1998K3";0.0
"Nord-Norge";"1998K4";0.0
"Nord-Norge";"1999K1";0.0
"Nord-Norge";"1999K2";0.0
"Nord-Norge";"1999K3";0.0
"Nord-Norge";"1999K4";0.0
"Nord-Norge";"2000K1";0.0
"Nord-Norge";"2000K2";0.0
"Nord-Norge";"2000K3";0.0
"Nord-Norge";"2000K4";0.0
"Nord-Norge";"2001K1";0.0
"Nord-Norge";"2001K2";0.0
"Nord-Norge";"2001K3";0.0
"Nord-Norge";"2001K4";0.0
"Nord-Norge";"2002K1";0.0
"Nord-Norge";"2002K2";0.0
"Nord-Norge";"2002K3";0.0
"Nord-Norge";"2002K4";0.0
"Nord-Norge";"2003K1";0.0
"Nord-Norge";"2003K2";0.0
"Nord-Norge";"2003K3";0.0
"Nord-Norge";"2003K4";0.0
"Nord-Norge";"2004K1";0.0
"Nord-Norge";"2004K2";0.0
"Nord-Norge";"2004K3";0.0
"Nord-Norge";"2004K4";0.0
"Nord-Norge";"2005K1";52.9
"Nord-Norge";"2005K2";54.3
"Nord-Norge";"2005K3";55.9
"Nord-Norge";"2005K4";57.0
"Nord-Norge";"2006K1";58.5
"Nord-Norge";"2006K2";62.5
"Nord-Norge";"2006K3";64.7
"Nord-Norge";"2006K4";63.7
"Nord-Norge";"2007K1";69.6
"Nord-Norge";"2007K2";72.5
"Nord-Norge";"2007K3";71.5
"Nord-Norge";"2007K4";70.4
"Nord-Norge";"2008K1";71.9
"Nord-Norge";"2008K2";71.8
"Nord-Norge";"2008K3";70.5
"Nord-Norge";"2008K4";64.8
"Nord-Norge";"2009K1";66.4
"Nord-Norge";"2009K2";71.4
"Nord-Norge";"2009K3";71.7
"Nord-Norge";"2009K4";71.3
"Nord-Norge";"2010K1";74.8
"Nord-Norge";"2010K2";77.2
"Nord-Norge";"2010K3";75.9
"Nord-Norge";"2010K4";76.8
"Nord-Norge";"2011K1";77.4
"Nord-Norge";"2011K2";80.6
"Nord-Norge";"2011K3";81.4
"Nord-Norge";"2011K4";79.9
"Nord-Norge";"2012K1";84.7
"Nord-Norge";"2012K2";86.0
"Nord-Norge";"2012K3";88.0
"Nord-Norge";"2012K4";85.9
"Nord-Norge";"2013K1";91.6
"Nord-Norge";"2013K2";92.4
"Nord-Norge";"2013K3";90.5
"Nord-Norge";"2013K4";89.7
"Nord-Norge";"2014K1";92.4
"Nord-Norge";"2014K2";96.1
"Nord-Norge";"2014K3";97.5
"Nord-Norge";"2014K4";96.5
"Nord-Norge";"2015K1";98.9
"Nord-Norge";"2015K2";102.2
"Nord-Norge";"2015K3";100.8
"Nord-Norge";"2015K4";98.1
"Nord-Norge";"2016K1";104.1
"Nord-Norge";"2016K2";110.8
"Nord-Norge";"2016K3";108.6
"Nord-Norge";"2016K4";109.6
"Nord-Norge";"2017K1";111.8
"Nord-Norge";"2017K2";115.8
"Nord-Norge";"2017K3";113.1
"Nord-Norge";"2017K4";110.7
"Nord-Norge";"2018K1";112.9
"Nord-Norge";"2018K2";117.0
"Nord-Norge";"2018K3";117.1
"Nord-Norge";"2018K4";113.5
"Nord-Norge";"2019K1";119.4
"Nord-Norge";"2019K2";120.6
"Nord-Norge";"2019K3";118.7
"Nord-Norge";"2019K4";116.0
"Nord-Norge";"2020K1";119.0
"Nord-Norge";"2020K2";123.0
"Nord-Norge";"2020K3";126.7
"Nord-Norge";"2020K4";120.6
